iter	Passed	Remaining
0	150	75278
1	159	39734
2	169	28025
3	178	22160
4	187	18572
5	196	16150
6	205	14498
7	214	13211
8	222	12162
9	231	11358
10	240	10691
11	249	10137
12	257	9632
13	267	9276
14	276	8933
15	285	8622
16	294	8358
17	302	8110
18	311	7895
19	320	7694
20	330	7527
21	339	7370
22	348	7221
23	358	7106
24	368	6994
25	377	6883
26	387	6780
27	397	6703
28	412	6703
29	423	6640
30	433	6557
31	443	6482
32	451	6394
33	462	6339
34	472	6277
35	483	6226
36	493	6181
37	504	6128
38	516	6106
39	533	6130
40	545	6105
41	556	6068
42	566	6021
43	576	5977
44	588	5950
45	599	5921
46	609	5874
47	619	5832
48	629	5793
49	638	5748
50	648	5710
51	658	5675
52	668	5639
53	680	5618
54	692	5600
55	704	5582
56	713	5546
57	724	5518
58	734	5493
59	744	5460
60	754	5433
61	765	5407
62	776	5387
63	790	5386
64	803	5380
65	818	5382
66	836	5402
67	851	5411
68	877	5481
69	956	5877
70	991	5993
71	1011	6010
72	1028	6014
73	1044	6010
74	1061	6013
75	1077	6009
76	1089	5984
77	1106	5988
78	1125	5995
79	1143	6002
80	1159	5999
81	1176	5999
82	1192	5991
83	1206	5973
84	1221	5962
85	1234	5944
86	1255	5960
87	1276	5976
88	1294	5976
89	1309	5966
90	1328	5969
91	1343	5958
92	1357	5941
93	1373	5934
94	1389	5923
95	1412	5942
96	1433	5954
97	1450	5950
98	1470	5955
99	1490	5961
100	1512	5974
101	1529	5968
102	1544	5952
103	1559	5939
104	1572	5916
105	1584	5890
106	1598	5871
107	1610	5844
108	1622	5819
109	1634	5793
110	1647	5773
111	1661	5754
112	1675	5738
113	1688	5718
114	1702	5698
115	1713	5672
116	1724	5646
117	1736	5622
118	1748	5598
119	1760	5574
120	1771	5549
121	1784	5528
122	1797	5509
123	1808	5484
124	1819	5457
125	1829	5431
126	1844	5417
127	1860	5408
128	1873	5389
129	1887	5371
130	1900	5353
131	1912	5331
132	1923	5307
133	1935	5285
134	1950	5274
135	1963	5255
136	1975	5234
137	1986	5211
138	1997	5187
139	2008	5163
140	2018	5139
141	2028	5113
142	2039	5091
143	2052	5074
144	2062	5049
145	2071	5023
146	2083	5003
147	2094	4982
148	2104	4957
149	2114	4932
150	2122	4906
151	2132	4881
152	2141	4857
153	2151	4832
154	2160	4809
155	2171	4787
