iter	Passed	Remaining
156	2179	4762
157	2190	4740
158	2199	4717
159	2208	4692
160	2217	4670
161	2226	4646
162	2236	4623
163	2245	4600
164	2254	4577
165	2265	4558
166	2276	4538
167	2287	4520
168	2298	4502
169	2310	4485
170	2323	4470
171	2336	4455
172	2349	4440
173	2360	4423
174	2371	4404
175	2382	4386
176	2394	4370
177	2407	4354
178	2418	4337
179	2430	4320
180	2441	4302
181	2453	4286
182	2463	4267
183	2474	4249
184	2485	4232
185	2497	4216
186	2508	4198
187	2519	4181
188	2530	4164
189	2544	4151
190	2556	4135
191	2568	4120
192	2581	4106
193	2594	4092
194	2605	4075
195	2616	4058
196	2628	4043
197	2640	4026
198	2652	4011
199	2663	3994
200	2674	3978
201	2684	3960
202	2695	3944
203	2707	3927
204	2716	3909
205	2727	3892
206	2737	3874
207	2746	3856
208	2756	3838
209	2766	3820
210	2776	3802
211	2787	3786
212	2797	3769
213	2808	3753
214	2821	3740
215	2835	3727
216	2851	3718
217	2862	3703
218	2874	3688
219	2888	3676
220	2900	3661
221	2914	3649
222	2926	3634
223	2937	3619
224	2947	3602
225	2958	3586
226	2968	3569
227	2977	3552
228	2988	3536
229	2998	3519
230	3008	3502
231	3018	3486
232	3029	3471
233	3038	3454
234	3050	3439
235	3062	3425
236	3071	3408
237	3080	3391
238	3090	3375
239	3100	3358
240	3110	3342
241	3119	3325
242	3128	3308
243	3139	3293
244	3149	3278
245	3161	3264
246	3173	3250
247	3184	3236
248	3194	3220
249	3204	3204
250	3215	3189
251	3226	3175
252	3235	3158
253	3249	3147
254	3264	3136
255	3281	3127
256	3294	3115
257	3309	3104
258	3322	3091
259	3336	3079
260	3351	3069
261	3364	3056
262	3378	3044
263	3398	3038
264	3413	3026
265	3427	3014
266	3440	3002
267	3454	2990
268	3468	2978
269	3482	2966
270	3496	2954
271	3510	2942
272	3528	2934
273	3542	2921
274	3555	2908
275	3569	2896
276	3581	2883
277	3596	2871
278	3608	2858
279	3621	2845
280	3635	2833
281	3663	2831
282	3674	2817
283	3683	2801
284	3695	2787
285	3707	2774
286	3719	2760
287	3731	2746
288	3743	2733
289	3755	2719
290	3765	2704
291	3776	2690
292	3790	2677
293	3802	2664
294	3815	2651
295	3825	2636
296	3835	2621
297	3844	2605
298	3853	2590
299	3863	2575
300	3872	2560
301	3881	2544
302	3891	2529
303	3900	2514
304	3909	2499
305	3919	2485
306	3930	2470
307	3941	2457
308	3954	2444
309	3963	2429
310	3972	2414
311	3984	2400
312	3995	2386
313	4005	2372
314	4018	2359
315	4027	2345
316	4038	2331
317	4051	2318
318	4062	2304
319	4072	2290
320	4084	2277
321	4096	2264
322	4106	2250
323	4118	2237
324	4128	2223
325	4139	2209
326	4149	2195
327	4159	2181
328	4171	2168
329	4185	2156
330	4200	2144
331	4213	2132
332	4226	2119
333	4240	2107
334	4254	2095
335	4270	2084
336	4281	2070
337	4292	2057
338	4304	2044
339	4315	2030
340	4326	2017
341	4337	2003
342	4348	1990
343	4361	1977
344	4371	1964
345	4385	1951
346	4395	1938
347	4406	1924
348	4416	1910
349	4426	1897
350	4438	1884
351	4447	1869
352	4457	1856
353	4467	1842
354	4476	1828
355	4486	1814
356	4496	1801
357	4506	1787
358	4516	1773
359	4526	1760
360	4535	1746
361	4545	1732
362	4554	1718
363	4564	1705
364	4576	1692
365	4586	1679
366	4596	1665
367	4608	1653
368	4618	1639
369	4628	1626
370	4638	1612
371	4649	1599
372	4662	1587
373	4673	1574
374	4683	1561
375	4694	1548
376	4706	1535
377	4719	1523
378	4730	1510
379	4740	1497
380	4750	1483
381	4760	1470
382	4770	1457
383	4780	1444
384	4791	1431
385	4801	1418
386	4812	1405
387	4821	1391
388	4833	1379
389	4845	1366
390	4856	1353
391	4867	1341
392	4878	1328
393	4889	1315
394	4898	1302
395	4907	1288
396	4917	1275
397	4926	1262
398	4936	1249
399	4944	1236
400	4954	1223
401	4963	1209
402	4972	1196
403	4981	1183
404	4990	1170
405	5000	1157
406	5009	1144
407	5018	1131
408	5027	1118
409	5036	1105
410	5045	1092
411	5054	1079
412	5064	1066
413	5072	1053
414	5081	1040
415	5090	1027
416	5099	1014
417	5108	1002
418	5118	989
419	5126	976
420	5135	963
421	5144	950
422	5153	938
423	5161	925
424	5172	912
425	5181	900
426	5190	887
427	5203	875
428	5215	863
429	5228	851
430	5240	838
431	5254	827
432	5266	814
433	5277	802
434	5290	790
435	5301	778
436	5314	766
437	5326	753
438	5338	741
439	5353	730
440	5367	718
441	5382	706
442	5397	694
443	5410	682
444	5423	670
445	5438	658
446	5452	646
447	5466	634
448	5483	622
449	5496	610
450	5508	598
451	5520	586
452	5533	574
453	5545	561
454	5557	549
455	5572	537
456	5584	525
457	5596	513
458	5607	500
459	5619	488
460	5631	476
461	5644	464
462	5656	452
463	5666	439
464	5677	427
465	5688	415
466	5699	402
467	5710	390
468	5720	378
469	5730	365
470	5740	353
471	5751	341
472	5761	328
473	5775	316
474	5789	304
475	5802	292
476	5811	280
477	5821	267
478	5830	255
479	5841	243
480	5851	231
481	5860	218
482	5870	206
483	5880	194
484	5891	182
485	5902	170
486	5913	157
487	5923	145
488	5934	133
489	5945	121
490	5958	109
491	5975	97
492	5984	84
493	5995	72
494	6005	60
495	6017	48
496	6028	36
497	6039	24
498	6049	12
499	6060	0
